Time,"Conductivity, mS","Temperature, C"
14:23:41,0.691,25.8
0,0,0
0,0,0
14:23:43,0.691,25.8
0,0,0
0,0,0
14:23:45,0.692,25.8
0,0,0
0,0,0
14:23:47,0.692,25.8
0,0,0
0,0,0
14:23:49,0.693,25.8
0,0,0
0,0,0
14:23:51,0.693,25.8
0,0,0
0,0,0
14:23:53,0.694,25.8
0,0,0
0,0,0
14:23:55,0.695,25.8
0,0,0
0,0,0
14:23:57,0.695,25.8
0,0,0
0,0,0
14:23:59,0.696,25.8
0,0,0
0,0,0
14:24:01,0.696,25.8
0,0,0
0,0,0
14:24:03,0.697,25.8
0,0,0
0,0,0
14:24:05,0.698,25.9
0,0,0
0,0,0
14:24:07,0.698,25.8
0,0,0
0,0,0
14:24:09,0.698,25.9
0,0,0
0,0,0
14:24:11,0.699,25.9
0,0,0
0,0,0
14:24:13,0.699,25.9
0,0,0
0,0,0
14:24:15,0.7,25.9
0,0,0
0,0,0
14:24:17,0.7,25.9
0,0,0
0,0,0
14:24:19,0.701,25.9
0,0,0
0,0,0
14:24:21,0.701,25.9
0,0,0
0,0,0
14:24:23,0.701,25.9
0,0,0
0,0,0
14:24:25,0.701,25.9
0,0,0
0,0,0
14:24:27,0.702,25.9
0,0,0
0,0,0
14:24:29,0.703,25.9
0,0,0
0,0,0
14:24:31,0.703,25.9
0,0,0
0,0,0
14:24:33,0.704,25.9
0,0,0
0,0,0
14:24:35,0.704,25.9
0,0,0
0,0,0
14:24:37,0.705,25.9
0,0,0
0,0,0
14:24:39,0.706,25.9
0,0,0
0,0,0
14:24:41,0.706,25.9
0,0,0
0,0,0
14:24:43,0.706,25.9
0,0,0
0,0,0
14:24:45,0.707,25.9
0,0,0
0,0,0
14:24:47,0.708,25.9
0,0,0
0,0,0
14:24:49,0.708,25.9
0,0,0
0,0,0
14:24:51,0.709,25.9
0,0,0
0,0,0
14:24:53,0.709,25.9
0,0,0
0,0,0
14:24:55,0.709,25.9
0,0,0
0,0,0
14:24:57,0.71,25.9
0,0,0
0,0,0
14:24:59,0.71,25.9
0,0,0
0,0,0
14:25:01,0.711,25.9
0,0,0
0,0,0
14:25:03,0.711,25.9
0,0,0
0,0,0
14:25:05,0.712,25.9
0,0,0
0,0,0
14:25:07,0.713,25.9
0,0,0
0,0,0
14:25:09,0.713,25.9
0,0,0
0,0,0
14:25:11,0.714,25.9
0,0,0
0,0,0
14:25:13,0.714,25.9
0,0,0
0,0,0
14:25:15,0.715,25.9
0,0,0
0,0,0
14:25:17,0.715,25.9
0,0,0
0,0,0
14:25:19,0.716,25.9
0,0,0
0,0,0
14:25:21,0.716,25.9
0,0,0
0,0,0
14:25:23,0.716,25.9
0,0,0
0,0,0
14:25:25,0.717,25.9
0,0,0
0,0,0
14:25:27,0.717,25.9
0,0,0
0,0,0
14:25:29,0.717,25.9
0,0,0
0,0,0
14:25:31,0.718,25.9
0,0,0
0,0,0
14:25:33,0.718,25.9
0,0,0
0,0,0
14:25:35,0.719,25.9
0,0,0
0,0,0
14:25:37,0.719,25.9
0,0,0
0,0,0
14:25:39,0.72,25.9
0,0,0
0,0,0
14:25:41,0.72,25.9
0,0,0
0,0,0
14:25:43,0.721,25.9
0,0,0
0,0,0
14:25:45,0.721,25.9
0,0,0
0,0,0
14:25:47,0.721,25.9
0,0,0
0,0,0
14:25:49,0.722,25.9
0,0,0
0,0,0
14:25:51,0.722,25.9
0,0,0
0,0,0
14:25:53,0.723,25.9
0,0,0
0,0,0
14:25:55,0.723,25.9
0,0,0
0,0,0
14:25:57,0.724,25.9
0,0,0
0,0,0
14:25:59,0.724,25.9
0,0,0
0,0,0
14:26:01,0.725,25.9
0,0,0
0,0,0
14:26:03,0.725,25.9
0,0,0
0,0,0
14:26:05,0.725,25.9
0,0,0
0,0,0
14:26:07,0.726,25.9
0,0,0
0,0,0
14:26:09,0.726,25.9
0,0,0
0,0,0
14:26:11,0.727,25.9
0,0,0
0,0,0
14:26:13,0.727,25.9
0,0,0
0,0,0
14:26:15,0.728,25.9
0,0,0
0,0,0
14:26:17,0.728,25.9
0,0,0
0,0,0
14:26:19,0.728,25.9
0,0,0
0,0,0
14:26:21,0.728,25.9
0,0,0
0,0,0
14:26:23,0.729,25.9
0,0,0
0,0,0
14:26:25,0.729,25.9
0,0,0
0,0,0
14:26:27,0.729,25.9
0,0,0
0,0,0
14:26:29,0.73,25.9
0,0,0
0,0,0
14:26:31,0.73,25.9
0,0,0
0,0,0
14:26:33,0.731,25.9
0,0,0
0,0,0
14:26:35,0.732,25.9
0,0,0
0,0,0
14:26:37,0.733,25.9
0,0,0
0,0,0
14:26:39,0.733,25.9
0,0,0
0,0,0
14:26:41,0.734,25.9
0,0,0
0,0,0
14:26:43,0.734,25.9
0,0,0
0,0,0
14:26:45,0.734,25.9
0,0,0
0,0,0
14:26:47,0.734,25.9
