Time,"Conductivity, mS","Temperature, C"
12:45:52,0.822,24.2
0,0,0
0,0,0
12:45:54,0.822,24.2
0,0,0
0,0,0
12:45:56,0.822,24.2
0,0,0
0,0,0
12:45:58,0.822,24.2
0,0,0
0,0,0
12:46:00,0.823,24.2
0,0,0
0,0,0
12:46:02,0.824,24.2
0,0,0
0,0,0
12:46:04,0.824,24.2
0,0,0
0,0,0
12:46:06,0.824,24.2
0,0,0
0,0,0
12:46:08,0.824,24.2
0,0,0
0,0,0
12:46:10,0.825,24.2
0,0,0
0,0,0
12:46:12,0.825,24.2
0,0,0
0,0,0
12:46:14,0.825,24.2
0,0,0
0,0,0
12:46:16,0.826,24.2
0,0,0
0,0,0
12:46:18,0.826,24.2
0,0,0
0,0,0
12:46:20,0.826,24.2
0,0,0
0,0,0
12:46:22,0.826,24.2
0,0,0
0,0,0
12:46:24,0.826,24.2
0,0,0
0,0,0
12:46:26,0.826,24.2
0,0,0
0,0,0
12:46:28,0.827,24.2
0,0,0
0,0,0
12:46:30,0.827,24.3
0,0,0
0,0,0
12:46:32,0.828,24.2
0,0,0
0,0,0
12:46:34,0.828,24.3
0,0,0
0,0,0
12:46:36,0.828,24.2
0,0,0
0,0,0
12:46:38,0.829,24.2
0,0,0
0,0,0
12:46:40,0.829,24.2
0,0,0
0,0,0
12:46:42,0.829,24.2
0,0,0
0,0,0
12:46:44,0.829,24.2
0,0,0
0,0,0
12:46:46,0.83,24.3
0,0,0
0,0,0
12:46:48,0.83,24.3
0,0,0
0,0,0
12:46:50,0.829,24.3
0,0,0
0,0,0
12:46:52,0.829,24.3
0,0,0
0,0,0
12:46:54,0.829,24.3
0,0,0
0,0,0
12:46:56,0.831,24.3
0,0,0
0,0,0
12:46:58,0.833,24.3
0,0,0
0,0,0
12:47:00,0.835,24.3
0,0,0
0,0,0
12:47:02,0.835,24.3
0,0,0
0,0,0
12:47:04,0.837,24.3
0,0,0
0,0,0
12:47:06,0.837,24.3
0,0,0
0,0,0
12:47:08,0.837,24.3
0,0,0
0,0,0
12:47:10,0.837,24.3
0,0,0
0,0,0
12:47:12,0.837,24.3
0,0,0
0,0,0
12:47:14,0.838,24.3
0,0,0
0,0,0
12:47:16,0.838,24.3
0,0,0
0,0,0
12:47:18,0.838,24.3
0,0,0
0,0,0
12:47:20,0.839,24.3
0,0,0
0,0,0
12:47:22,0.839,24.3
0,0,0
0,0,0
12:47:24,0.839,24.3
0,0,0
0,0,0
12:47:26,0.839,24.3
0,0,0
0,0,0
12:47:28,0.839,24.3
0,0,0
0,0,0
12:47:30,0.839,24.3
0,0,0
0,0,0
12:47:32,0.839,24.3
0,0,0
0,0,0
12:47:34,0.84,24.3
0,0,0
0,0,0
12:47:36,0.84,24.3
0,0,0
0,0,0
12:47:38,0.84,24.3
0,0,0
0,0,0
12:47:40,0.841,24.3
0,0,0
0,0,0
12:47:42,0.841,24.3
0,0,0
0,0,0
12:47:44,0.841,24.3
0,0,0
0,0,0
12:47:46,0.841,24.3
0,0,0
0,0,0
12:47:48,0.842,24.3
0,0,0
0,0,0
12:47:50,0.842,24.3
0,0,0
0,0,0
12:47:52,0.842,24.3
0,0,0
0,0,0
12:47:54,0.843,24.3
0,0,0
0,0,0
12:47:56,0.843,24.3
0,0,0
0,0,0
12:47:58,0.843,24.3
0,0,0
0,0,0
12:48:00,0.843,24.3
0,0,0
0,0,0
12:48:02,0.844,24.3
0,0,0
0,0,0
12:48:04,0.844,24.3
0,0,0
0,0,0
12:48:06,0.844,24.3
0,0,0
0,0,0
12:48:08,0.844,24.3
0,0,0
0,0,0
12:48:10,0.845,24.3
0,0,0
0,0,0
12:48:12,0.845,24.3
0,0,0
0,0,0
12:48:14,0.845,24.3
0,0,0
0,0,0
12:48:16,0.845,24.3
0,0,0
0,0,0
12:48:18,0.846,24.3
0,0,0
0,0,0
12:48:20,0.846,24.3
0,0,0
0,0,0
12:48:22,0.846,24.3
0,0,0
0,0,0
12:48:24,0.846,24.3
0,0,0
0,0,0
12:48:26,0.846,24.3
0,0,0
0,0,0
12:48:28,0.846,24.3
0,0,0
0,0,0
12:48:30,0.847,24.3
0,0,0
0,0,0
12:48:32,0.847,24.3
0,0,0
0,0,0
12:48:34,0.847,24.3
0,0,0
0,0,0
12:48:36,0.847,24.3
0,0,0
0,0,0
12:48:38,0.847,24.3
0,0,0
0,0,0
12:48:40,0.847,24.3
0,0,0
0,0,0
12:48:42,0.848,24.3
0,0,0
0,0,0
12:48:44,0.848,24.3
0,0,0
0,0,0
12:48:46,0.848,24.3
0,0,0
0,0,0
12:48:48,0.848,24.3
0,0,0
0,0,0
12:48:50,0.848,24.3
0,0,0
0,0,0
12:48:52,0.849,24.3
0,0,0
0,0,0
12:48:54,0.849,24.3
0,0,0
0,0,0
12:48:56,0.849,24.3
0,0,0
0,0,0
12:48:58,0.849,24.3
0,0,0
0,0,0
12:49:00,0.849,24.3
0,0,0
0,0,0
12:49:02,0.849,24.3
0,0,0
0,0,0
12:49:04,0.849,24.3
0,0,0
0,0,0
12:49:06,0.85,24.3
0,0,0
0,0,0
12:49:08,0.85,24.3
0,0,0
0,0,0
12:49:10,0.85,24.3
0,0,0
0,0,0
12:49:12,0.851,24.3
0,0,0
0,0,0
12:49:14,0.851,24.3
0,0,0
0,0,0
12:49:16,0.851,24.3
0,0,0
0,0,0
12:49:18,0.852,24.3
0,0,0
0,0,0
12:49:20,0.852,24.3
0,0,0
0,0,0
12:49:22,0.852,24.3
0,0,0
0,0,0
12:49:24,0.852,24.3
0,0,0
0,0,0
12:49:26,0.852,24.3
0,0,0
0,0,0
12:49:28,0.852,24.3
0,0,0
0,0,0
12:49:30,0.852,24.3
0,0,0
0,0,0
12:49:32,0.852,24.3
0,0,0
0,0,0
12:49:34,0.853,24.3
0,0,0
0,0,0
12:49:36,0.853,24.3
0,0,0
0,0,0
12:49:38,0.853,24.3
0,0,0
0,0,0
12:49:40,0.853,24.3
0,0,0
0,0,0
12:49:42,0.853,24.3
0,0,0
0,0,0
12:49:44,0.853,24.3
0,0,0
0,0,0
12:49:46,0.853,24.3
0,0,0
0,0,0
12:49:48,0.853,24.3
0,0,0
0,0,0
12:49:50,0.854,24.3
0,0,0
0,0,0
12:49:52,0.854,24.3
0,0,0
0,0,0
12:49:54,0.854,24.3
0,0,0
0,0,0
12:49:56,0.854,24.3
0,0,0
0,0,0
12:49:58,0.854,24.3
0,0,0
0,0,0
12:50:00,0.854,24.3
0,0,0
0,0,0
12:50:02,0.855,24.3
0,0,0
0,0,0
12:50:04,0.855,24.3
0,0,0
0,0,0
12:50:06,0.855,24.3
0,0,0
0,0,0
12:50:08,0.855,24.3
0,0,0
0,0,0
12:50:10,0.855,24.3
0,0,0
0,0,0
12:50:12,0.855,24.3
0,0,0
0,0,0
12:50:14,0.855,24.3
0,0,0
0,0,0
12:50:16,0.855,24.3
0,0,0
0,0,0
12:50:18,0.856,24.3
0,0,0
0,0,0
12:50:20,0.856,24.3
0,0,0
0,0,0
12:50:22,0.856,24.3
0,0,0
0,0,0
12:50:24,0.856,24.3
0,0,0
0,0,0
12:50:26,0.856,24.3
0,0,0
0,0,0
12:50:28,0.856,24.3
0,0,0
0,0,0
12:50:30,0.856,24.3
0,0,0
0,0,0
12:50:32,0.856,24.3
0,0,0
0,0,0
12:50:34,0.857,24.3
0,0,0
0,0,0
12:50:36,0.857,24.3
0,0,0
0,0,0
12:50:38,0.857,24.3
0,0,0
0,0,0
12:50:40,0.857,24.3
0,0,0
0,0,0
12:50:42,0.857,24.3
0,0,0
0,0,0
12:50:44,0.857,24.3
0,0,0
0,0,0
12:50:46,0.857,24.3
0,0,0
0,0,0
12:50:48,0.857,24.3
0,0,0
0,0,0
12:50:50,0.857,24.3
0,0,0
0,0,0
12:50:52,0.857,24.3
0,0,0
0,0,0
12:50:54,0.857,24.3
0,0,0
0,0,0
12:50:56,0.858,24.3
0,0,0
0,0,0
12:50:58,0.858,24.3
0,0,0
