Time,"Conductivity, mS","Temperature, C"
14:00:00,0,22.7
0,0,0
0,0,0
14:00:02,0,22.9
0,0,0
0,0,0
14:00:04,0,23.2
0,0,0
0,0,0
14:00:06,0,23.4
0,0,0
0,0,0
14:00:08,0,23.6
0,0,0
0,0,0
14:00:10,0,23.6
0,0,0
0,0,0
14:00:12,0,23.9
0,0,0
0,0,0
14:00:14,0,24
0,0,0
0,0,0
14:00:16,0.587,23.9
0,0,0
0,0,0
14:00:18,0.565,23.9
0,0,0
0,0,0
14:00:20,0.565,23.7
0,0,0
0,0,0
14:00:22,0.566,23.4
0,0,0
0,0,0
14:00:24,0.566,23.2
0,0,0
0,0,0
14:00:26,0.568,23
0,0,0
0,0,0
14:00:28,0.571,22.9
0,0,0
0,0,0
14:00:30,0.573,22.8
0,0,0
0,0,0
14:00:32,0.575,22.7
0,0,0
0,0,0
14:00:34,0.576,22.6
0,0,0
0,0,0
14:00:36,0.577,22.6
0,0,0
0,0,0
14:00:38,0.577,22.6
0,0,0
0,0,0
14:00:40,0.578,22.5
0,0,0
0,0,0
14:00:42,0.578,22.5
0,0,0
0,0,0
14:00:44,0.579,22.5
0,0,0
0,0,0
14:00:46,0.579,22.4
0,0,0
0,0,0
14:00:48,0.579,22.4
0,0,0
0,0,0
14:00:50,0.579,22.4
0,0,0
0,0,0
14:00:52,0.58,22.4
0,0,0
0,0,0
14:00:54,0.58,22.3
0,0,0
0,0,0
14:00:56,0.581,22.3
0,0,0
0,0,0
14:00:58,0.581,22.3
0,0,0
0,0,0
14:01:00,0.581,22.3
0,0,0
0,0,0
14:01:02,0.582,22.3
0,0,0
0,0,0
14:01:04,0.582,22.3
0,0,0
0,0,0
14:01:06,0.581,22.3
0,0,0
0,0,0
14:01:08,0.581,22.3
0,0,0
0,0,0
14:01:10,0.581,22.2
0,0,0
0,0,0
14:01:12,0.581,22.2
0,0,0
0,0,0
14:01:14,0.582,22.2
0,0,0
0,0,0
14:01:16,0.582,22.2
0,0,0
0,0,0
14:01:18,0.582,22.2
0,0,0
0,0,0
14:01:20,0.582,22.2
0,0,0
0,0,0
14:01:22,0.582,22.2
0,0,0
0,0,0
14:01:24,0.582,22.2
0,0,0
0,0,0
14:01:26,0.582,22.2
0,0,0
0,0,0
14:01:28,0.582,22.2
0,0,0
0,0,0
14:01:30,0.582,22.2
0,0,0
0,0,0
14:01:32,0.582,22.2
0,0,0
0,0,0
14:01:34,0.582,22.2
0,0,0
0,0,0
14:01:36,0.582,22.2
0,0,0
0,0,0
14:01:38,0.582,22.2
0,0,0
0,0,0
14:01:40,0.582,22.1
0,0,0
0,0,0
14:01:42,0.582,22.1
0,0,0
0,0,0
14:01:44,0.582,22.1
0,0,0
0,0,0
14:01:46,0.582,22.1
0,0,0
0,0,0
14:01:48,0.583,22.1
0,0,0
0,0,0
14:01:50,0.583,22.1
0,0,0
0,0,0
14:01:52,0.583,22.1
0,0,0
0,0,0
14:01:54,0.583,22.1
0,0,0
0,0,0
14:01:56,0.583,22.1
0,0,0
0,0,0
14:01:58,0.583,22.1
0,0,0
0,0,0
14:02:00,0.583,22.1
0,0,0
0,0,0
14:02:02,0.583,22.1
0,0,0
0,0,0
14:02:04,0.583,22.1
0,0,0
0,0,0
14:02:06,0.583,22.1
0,0,0
0,0,0
14:02:08,0.583,22.1
0,0,0
0,0,0
14:02:10,0.583,22.1
0,0,0
0,0,0
14:02:12,0.583,22.1
0,0,0
0,0,0
14:02:14,0.583,22.1
0,0,0
0,0,0
14:02:16,0.583,22.1
0,0,0
0,0,0
14:02:18,0.583,22.1
0,0,0
0,0,0
14:02:20,0.583,22.1
0,0,0
0,0,0
14:02:22,0.583,22.1
0,0,0
0,0,0
14:02:24,0.583,22.1
0,0,0
0,0,0
14:02:26,0.583,22.1
0,0,0
0,0,0
14:02:28,0.583,22.1
0,0,0
0,0,0
14:02:30,0.583,22.1
0,0,0
0,0,0
14:02:32,0.583,22.1
0,0,0
0,0,0
14:02:34,0.583,22.1
0,0,0
0,0,0
14:02:36,0.583,22.1
0,0,0
0,0,0
14:02:38,0.583,22.1
0,0,0
0,0,0
14:02:40,0.583,22.1
0,0,0
0,0,0
14:02:42,0.583,22.1
0,0,0
0,0,0
14:02:44,0.583,22.1
0,0,0
0,0,0
14:02:46,0.583,22.1
0,0,0
0,0,0
14:02:48,0.583,22.1
0,0,0
0,0,0
14:02:50,0.583,22.1
0,0,0
0,0,0
14:02:52,0.583,22.1
0,0,0
0,0,0
14:02:54,0.583,22.1
0,0,0
0,0,0
14:02:56,0.583,22.1
0,0,0
0,0,0
14:02:58,0.583,22.1
0,0,0
0,0,0
14:03:00,0.583,22.1
0,0,0
0,0,0
14:03:02,0.583,22.1
0,0,0
0,0,0
14:03:04,0.583,22.1
0,0,0
0,0,0
14:03:06,0.583,22.1
0,0,0
0,0,0
14:03:08,0.583,22.1
0,0,0
0,0,0
14:03:10,0.583,22.1
0,0,0
0,0,0
14:03:12,0.583,22.1
0,0,0
0,0,0
14:03:14,0.583,22.1
0,0,0
0,0,0
14:03:16,0.583,22.1
0,0,0
0,0,0
14:03:18,0.583,22.1
0,0,0
0,0,0
14:03:20,0.583,22.1
0,0,0
0,0,0
14:03:22,0.583,22.1
0,0,0
0,0,0
14:03:24,0.583,22.1
0,0,0
0,0,0
14:03:26,0.583,22.1
0,0,0
0,0,0
14:03:28,0.583,22.1
0,0,0
0,0,0
14:03:30,0.583,22.1
0,0,0
0,0,0
14:03:32,0.583,22.1
0,0,0
0,0,0
14:03:34,0.583,22.1
0,0,0
0,0,0
14:03:36,0.583,22.1
0,0,0
0,0,0
14:03:38,0.583,22.1
0,0,0
0,0,0
14:03:40,0.583,22.1
0,0,0
0,0,0
14:03:42,0.583,22.1
0,0,0
0,0,0
14:03:44,0.583,22.1
0,0,0
0,0,0
14:03:46,0.583,22.1
0,0,0
0,0,0
14:03:48,0.583,22.1
0,0,0
0,0,0
14:03:50,0.583,22.1
0,0,0
0,0,0
14:03:52,0.583,22.1
0,0,0
0,0,0
14:03:54,0.583,22.1
0,0,0
0,0,0
14:03:56,0.583,22.1
0,0,0
0,0,0
14:03:58,0.583,22.1
0,0,0
0,0,0
14:04:00,0.583,22.1
0,0,0
0,0,0
14:04:02,0.583,22.1
0,0,0
0,0,0
14:04:04,0.583,22.1
0,0,0
0,0,0
14:04:06,0.583,22.1
0,0,0
0,0,0
14:04:08,0.583,22.1
0,0,0
0,0,0
14:04:10,0.583,22.1
0,0,0
0,0,0
14:04:12,0.583,22.1
0,0,0
0,0,0
14:04:14,0.583,22.1
0,0,0
0,0,0
14:04:16,0.583,22.1
0,0,0
0,0,0
14:04:18,0.583,22.1
0,0,0
0,0,0
14:04:20,0.583,22.1
0,0,0
0,0,0
14:04:22,0.583,22.1
0,0,0
0,0,0
14:04:24,0.583,22.1
0,0,0
0,0,0
14:04:26,0.583,22.1
0,0,0
0,0,0
14:04:28,58.3,22.1
0,0,0
0,0,0
14:04:30,0,22.2
0,0,0
0,0,0
14:04:32,0,22.5
0,0,0
0,0,0
14:04:34,0,22.8
0,0,0
0,0,0
14:04:36,0,23.1
0,0,0
0,0,0
14:04:38,0,23.1
0,0,0
0,0,0
14:04:40,0.619,23.3
0,0,0
0,0,0
14:04:42,0.604,23.2
0,0,0
0,0,0
14:04:44,0.604,23.2
0,0,0
0,0,0
14:04:46,0.604,23.1
0,0,0
0,0,0
14:04:48,0.605,23
0,0,0
0,0,0
14:04:50,0.605,22.9
0,0,0
0,0,0
14:04:52,0.606,22.9
0,0,0
0,0,0
14:04:54,0.607,22.9
0,0,0
0,0,0
14:04:56,0.608,22.8
0,0,0
0,0,0
14:04:58,0.608,22.8
0,0,0
0,0,0
14:05:00,0.609,22.8
0,0,0
0,0,0
14:05:02,0.609,22.8
0,0,0
0,0,0
14:05:04,0.609,22.7
0,0,0
0,0,0
14:05:06,0.61,22.7
0,0,0
0,0,0
14:05:08,0.61,22.7
0,0,0
0,0,0
14:05:10,0.61,22.7
0,0,0
0,0,0
14:05:12,0.611,22.7
0,0,0
0,0,0
14:05:14,0.611,22.7
0,0,0
0,0,0
14:05:16,0.611,22.7
0,0,0
0,0,0
14:05:18,0.611,22.7
0,0,0
0,0,0
14:05:20,0.611,22.7
0,0,0
0,0,0
14:05:22,0.611,22.7
0,0,0
0,0,0
14:05:24,0.611,22.7
0,0,0
0,0,0
14:05:26,0.611,22.7
0,0,0
0,0,0
14:05:28,0.611,22.7
0,0,0
0,0,0
14:05:30,0.611,22.7
0,0,0
0,0,0
14:05:32,0.61,22.6
0,0,0
0,0,0
14:05:34,0.611,22.6
0,0,0
0,0,0
14:05:36,0.611,22.6
0,0,0
0,0,0
14:05:38,0.611,22.6
0,0,0
0,0,0
14:05:40,0.612,22.6
0,0,0
0,0,0
14:05:42,0.612,22.6
0,0,0
0,0,0
14:05:44,0.612,22.6
0,0,0
0,0,0
14:05:46,0.612,22.6
0,0,0
0,0,0
14:05:48,0.612,22.6
0,0,0
0,0,0
14:05:50,0.612,22.6
0,0,0
0,0,0
14:05:52,0.612,22.6
0,0,0
0,0,0
14:05:54,0.612,22.6
0,0,0
0,0,0
14:05:56,0.612,22.6
0,0,0
0,0,0
14:05:58,0.612,22.6
0,0,0
0,0,0
14:06:00,0.612,22.6
0,0,0
0,0,0
14:06:02,0.612,22.6
0,0,0
0,0,0
14:06:04,0.612,22.6
0,0,0
0,0,0
14:06:06,0.612,22.6
0,0,0
0,0,0
14:06:08,0.612,22.6
0,0,0
0,0,0
14:06:10,0.612,22.6
0,0,0
0,0,0
14:06:12,0.612,22.6
0,0,0
0,0,0
14:06:14,0.612,22.6
0,0,0
0,0,0
14:06:16,0.612,22.6
0,0,0
0,0,0
14:06:18,0.612,22.6
0,0,0
0,0,0
14:06:20,0.612,22.6
0,0,0
0,0,0
14:06:22,0.612,22.6
0,0,0
0,0,0
14:06:24,0.612,22.6
0,0,0
0,0,0
14:06:26,0.611,22.6
0,0,0
0,0,0
14:06:28,0.611,22.6
0,0,0
0,0,0
14:06:30,0.611,22.6
0,0,0
0,0,0
14:06:32,0.611,22.6
0,0,0
0,0,0
14:06:34,0.612,22.6
0,0,0
0,0,0
14:06:36,0.612,22.6
0,0,0
0,0,0
14:06:38,0.612,22.6
0,0,0
0,0,0
14:06:40,0.612,22.6
0,0,0
0,0,0
14:06:42,0.612,22.6
0,0,0
0,0,0
14:06:44,0.612,22.6
0,0,0
0,0,0
14:06:46,0.611,22.6
0,0,0
0,0,0
14:06:48,0.611,22.6
0,0,0
0,0,0
14:06:50,0.611,22.6
0,0,0
0,0,0
14:06:52,0.611,22.6
0,0,0
0,0,0
14:06:54,0.612,22.6
0,0,0
0,0,0
14:06:56,0.611,22.6
0,0,0
0,0,0
14:06:58,0.611,22.6
0,0,0
0,0,0
14:07:00,0.611,22.6
0,0,0
0,0,0
14:07:02,0.611,22.6
0,0,0
0,0,0
14:07:04,0.611,22.6
0,0,0
0,0,0
14:07:06,0.611,22.6
0,0,0
0,0,0
14:07:08,0.611,22.6
0,0,0
0,0,0
14:07:10,0.611,22.6
0,0,0
0,0,0
14:07:12,0.611,22.6
0,0,0
0,0,0
14:07:14,0.611,22.6
0,0,0
0,0,0
14:07:16,0.611,22.6
0,0,0
0,0,0
14:07:18,0.611,22.6
0,0,0
0,0,0
14:07:20,0.611,22.6
0,0,0
0,0,0
14:07:22,0.611,22.6
0,0,0
0,0,0
14:07:24,0.611,22.6
0,0,0
0,0,0
14:07:26,0.611,22.6
0,0,0
0,0,0
14:07:28,0.611,22.6
0,0,0
0,0,0
14:07:30,0.611,22.6
0,0,0
0,0,0
14:07:32,0.611,22.6
0,0,0
0,0,0
14:07:34,0.611,22.6
0,0,0
0,0,0
14:07:36,0.611,22.6
0,0,0
0,0,0
14:07:38,0.611,22.6
0,0,0
0,0,0
14:07:40,0.611,22.6
0,0,0
0,0,0
14:07:42,0.611,22.6
0,0,0
0,0,0
14:07:44,0.611,22.6
0,0,0
0,0,0
14:07:46,0.611,22.6
0,0,0
0,0,0
14:07:48,0.611,22.6
0,0,0
0,0,0
14:07:50,0.611,22.6
0,0,0
0,0,0
14:07:52,0.612,22.6
0,0,0
0,0,0
14:07:54,0.611,22.6
0,0,0
0,0,0
14:07:56,0.611,22.6
0,0,0
0,0,0
14:07:58,0.611,22.6
0,0,0
0,0,0
14:08:00,0.611,22.6
0,0,0
0,0,0
14:08:02,0.611,22.6
0,0,0
0,0,0
14:08:04,0.611,22.6
0,0,0
0,0,0
14:08:06,0.611,22.6
0,0,0
0,0,0
14:08:08,0.611,22.6
0,0,0
0,0,0
14:08:10,0.611,22.6
0,0,0
0,0,0
14:08:12,0.612,22.6
0,0,0
0,0,0
14:08:14,0.612,22.6
0,0,0
0,0,0
14:08:16,0.612,22.6
