Time,Conductivity (mS),Temperature (C)
0,0,0
11:11:56,2.1,20.6
0,0,0
0,0,0
11:11:58,2.1,20.6
0,0,0
0,0,0
11:12:00,2.1,20.6
0,0,0
0,0,0
11:12:02,2.1,20.6
0,0,0
0,0,0
11:12:04,2.1,20.6
0,0,0
0,0,0
11:12:06,2.1,20.6
0,0,0
0,0,0
11:12:08,2.1,20.6
0,0,0
0,0,0
11:12:10,2.2,20.6
0,0,0
0,0,0
11:12:12,2.2,20.6
0,0,0
0,0,0
11:12:14,2.2,20.6
0,0,0
0,0,0
11:12:16,2.2,20.6
0,0,0
0,0,0
11:12:18,2.2,20.6
0,0,0
0,0,0
11:12:20,2.2,20.6
0,0,0
0,0,0
11:12:22,2.2,20.6
0,0,0
0,0,0
11:12:24,2.2,20.6
0,0,0
0,0,0
11:12:26,2.2,20.6
0,0,0
0,0,0
11:12:28,2.2,20.6
0,0,0
0,0,0
11:12:30,2.2,20.6
0,0,0
0,0,0
11:12:32,2.3,20.6
0,0,0
0,0,0
11:12:34,2.2,20.6
0,0,0
0,0,0
11:12:36,2.3,20.6
0,0,0
0,0,0
11:12:38,2.3,20.6
0,0,0
0,0,0
11:12:40,2.3,20.6
0,0,0
0,0,0
11:12:42,2.3,20.6
0,0,0
0,0,0
11:12:44,2.3,20.6
0,0,0
0,0,0
11:12:46,2.3,20.6
0,0,0
0,0,0
11:12:48,2.3,20.6
0,0,0
0,0,0
11:12:50,2.3,20.6
0,0,0
0,0,0
11:12:52,2.4,20.6
0,0,0
0,0,0
11:12:54,2.4,20.6
0,0,0
0,0,0
11:12:56,2.4,20.6
0,0,0
0,0,0
11:12:58,2.4,20.6
0,0,0
0,0,0
11:13:00,2.4,20.6
0,0,0
0,0,0
11:13:02,2.4,20.6
0,0,0
0,0,0
11:13:04,2.4,20.6
0,0,0
0,0,0
11:13:06,2.4,20.6
0,0,0
0,0,0
11:13:08,2.5,20.6
0,0,0
0,0,0
11:13:10,2.4,20.6
0,0,0
0,0,0
11:13:12,2.4,20.6
0,0,0
0,0,0
11:13:14,2.4,20.6
0,0,0
0,0,0
11:13:16,2.4,20.6
0,0,0
0,0,0
11:13:18,2.5,20.6
0,0,0
0,0,0
11:13:20,2.5,20.6
0,0,0
0,0,0
11:13:22,2.5,20.6
0,0,0
0,0,0
11:13:24,2.5,20.6
0,0,0
0,0,0
11:13:26,2.5,20.6
0,0,0
0,0,0
11:13:28,2.5,20.6
0,0,0
0,0,0
11:13:30,2.5,20.6
0,0,0
0,0,0
11:13:32,2.5,20.6
0,0,0
0,0,0
11:13:34,2.5,20.6
0,0,0
0,0,0
