Time,Conductivity_in (mS),Conductivity_in @25*C (microS),Temperature_in,Conductivity_out (mS),Conductivity_out @25*C (microS),Temperature_out
10:55:55,10.09,10.39,23.5,816.6,848.86,23
10:55:56,10.09,10.44,23.25,822.5,850.79,23.25
10:55:57,10.09,10.49,23,829.5,849.68,23.75
10:55:58,11.57,11.97,23.25,834.7,871.98,22.75
10:55:59,10.09,10.39,23.5,840.4,865.05,23.5
10:56:00,10.83,11.31,22.75,846.3,875.41,23.25
10:56:01,10.83,11.2,23.25,851.1,880.37,23.25
10:56:02,10.09,10.44,23.25,856.5,881.63,23.5
10:56:03,10.09,10.54,22.75,859.9,880.82,23.75
10:56:04,10.83,11.26,23,864,889.35,23.5
10:56:05,11.57,11.97,23.25,869,898.89,23.25
10:56:06,11.57,12.03,23,872.7,902.72,23.25
10:56:07,11.57,11.97,23.25,875.7,910.29,23
10:56:08,13.05,13.5,23.25,881,906.85,23.5
10:56:09,17.41,17.92,23.5,883.8,909.73,23.5
10:56:10,22.41,23.18,23.25,886.1,921.1,23
10:56:11,31.12,32.19,23.25,889.2,919.78,23.25
10:56:12,44.84,46.61,23,892.2,922.89,23.25
10:56:13,63.02,65.19,23.25,895.6,921.87,23.5
10:56:14,83.37,86.24,23.25,897.6,928.47,23.25
10:56:15,108.7,112.99,23,899.9,921.79,23.75
10:56:16,134.1,138.71,23.25,902.8,929.28,23.5
10:56:17,158.9,163.56,23.5,903.9,930.42,23.5
10:56:18,186.6,194.93,22.75,907.3,933.92,23.5
10:56:19,215.7,223.12,23.25,908.3,934.95,23.5
10:56:20,243.4,253.01,23,909.9,932.04,23.75
10:56:21,269,278.25,23.25,911.7,943.06,23.25
10:56:22,296.8,307.01,23.25,913.3,944.71,23.25
10:56:22,321.7,331.14,23.5,913.9,945.33,23.25
10:56:23,348,359.97,23.25,916.2,952.39,23
10:56:24,370.1,382.83,23.25,918,949.57,23.25
10:56:25,392.9,404.43,23.5,919.2,941.56,23.75
10:56:26,415.6,429.89,23.25,919.7,942.07,23.75
10:56:27,437,452.03,23.25,921.8,948.84,23.5
10:56:28,456.1,469.48,23.5,921.5,948.53,23.5
10:56:29,476,492.37,23.25,923.6,941.49,24
10:56:30,494.4,511.4,23.25,924.5,951.62,23.5
10:56:31,510.7,530.87,23,925.4,957.23,23.25
10:56:32,526.9,545.02,23.25,926.3,962.89,23
10:56:33,544.5,563.23,23.25,927.3,954.5,23.5
10:56:34,558.7,575.09,23.5,927.7,964.35,23
10:56:35,572.8,589.6,23.5,928.6,951.19,23.75
10:56:36,587.6,607.81,23.25,929.7,956.97,23.5
10:56:37,601.5,622.19,23.25,930.7,962.71,23.25
10:56:38,612.7,636.9,23,930.7,958,23.5
10:56:39,625.9,647.43,23.25,931.3,968.09,23
10:56:40,637.8,659.74,23.25,932.3,964.37,23.25
10:56:41,648.4,667.42,23.5,932.6,959.96,23.5
10:56:42,660.1,682.8,23.25,932.7,964.78,23.25
10:56:43,669.8,692.84,23.25,933.7,961.09,23.5
10:56:44,680.2,703.59,23.25,933.7,965.81,23.25
10:56:45,691.2,711.48,23.5,934.5,961.91,23.5
10:56:46,698.8,722.83,23.25,935.2,967.36,23.25
10:56:47,708.4,732.76,23.25,934.7,957.44,23.75
10:56:48,716.6,741.25,23.25,935.4,972.35,23
10:56:49,724.7,745.96,23.5,935.7,963.15,23.5
10:56:50,731.5,756.66,23.25,936.4,968.61,23.25
10:56:51,740.4,765.86,23.25,936.2,958.98,23.75
10:56:52,747,776.51,23,937.1,964.59,23.5
10:56:53,753,778.9,23.25,937.5,969.74,23.25
10:56:54,758.3,780.55,23.5,937.8,974.84,23
10:56:55,765.7,799.9,22.75,937.8,974.84,23
10:56:56,770.8,797.31,23.25,938.9,971.19,23.25
10:56:57,777.6,800.41,23.5,938.4,965.93,23.5
10:56:58,783.4,806.38,23.5,939.1,961.95,23.75
10:56:59,788.1,811.22,23.5,938.7,966.24,23.5
10:57:00,792.6,819.86,23.25,939.3,966.86,23.5
10:57:01,797.6,829.11,23,939.6,962.46,23.75
10:57:02,801.6,833.26,23,939.8,972.12,23.25
10:57:03,806,829.64,23.5,939.8,972.12,23.25
10:57:04,810.5,834.28,23.5,939.9,972.23,23.25
10:57:05,815.6,852.02,22.75,940.2,958.41,24
10:57:06,817.4,849.69,23,941,968.61,23.5
10:57:07,821,845.08,23.5,940.2,967.78,23.5
10:57:08,826.8,855.24,23.25,940.7,973.05,23.25
10:57:08,827.7,860.4,23,941.1,968.71,23.5
10:57:09,831.4,859.99,23.25,941.5,978.69,23
10:57:10,834.3,862.99,23.25,941.5,969.12,23.5
10:57:11,838.1,875.53,22.75,941.6,964.51,23.75
10:57:12,841.8,875.05,23,942,969.63,23.5
10:57:13,844.7,873.75,23.25,941.8,969.43,23.5
10:57:14,848.4,886.29,22.75,942,979.21,23
10:57:15,849.9,879.13,23.25,942.1,974.5,23.25
10:57:16,853.5,882.85,23.25,942.8,970.46,23.5
10:57:17,853.8,878.85,23.5,942.3,974.71,23.25
10:57:18,857.3,882.45,23.5,942.5,984.59,22.75
10:57:19,859.6,889.16,23.25,943.2,975.64,23.25
10:57:20,860.6,885.85,23.5,944.3,967.27,23.75
10:57:21,864.1,898.23,23,942.7,970.36,23.5
10:57:22,865,899.17,23,942.8,975.23,23.25
10:57:23,867.1,910.34,22.5,943.3,970.97,23.5
10:57:24,870,904.37,23,943.1,970.77,23.5
10:57:25,870.2,904.57,23,943.5,975.95,23.25
10:57:26,873.1,903.13,23.25,943.7,976.16,23.25
10:57:27,873.8,899.43,23.5,943.3,975.74,23.25
10:57:28,876.9,916.06,22.75,943.5,971.18,23.5
10:57:29,877,902.73,23.5,944.4,972.11,23.5
10:57:30,877.7,907.89,23.25,944.3,967.27,23.75
10:57:31,879.9,914.66,23,944.4,976.88,23.25
10:57:32,880.7,906.54,23.5,945.5,978.02,23.25
10:57:33,882,916.84,23,944.9,977.4,23.25
10:57:34,883.8,914.2,23.25,945.6,978.12,23.25
10:57:35,884.5,910.45,23.5,945.8,978.33,23.25
10:57:36,885.3,915.75,23.25,945.6,982.95,23
10:57:37,888.1,927.76,22.75,945.2,968.19,23.75
10:57:38,890.9,917.04,23.5,945.6,973.34,23.5
10:57:39,890.2,920.82,23.25,946.3,974.06,23.5
10:57:40,890.1,920.71,23.25,945.7,978.23,23.25
10:57:41,891.2,921.85,23.25,945,972.72,23.5
10:57:42,892.7,918.89,23.5,946,969.01,23.75
10:57:43,893.2,923.92,23.25,945.4,973.13,23.5
10:57:44,894.9,925.68,23.25,946.5,979.05,23.25
10:57:45,894.9,916.67,23.75,946.3,974.06,23.5
10:57:46,897.1,927.95,23.25,946.8,984.2,23
10:57:47,896.4,927.23,23.25,946.5,988.77,22.75
10:57:48,898.5,933.99,23,946.5,974.27,23.5
10:57:49,900.7,927.12,23.5,946.5,974.27,23.5
